		курить	Ампутировать	Обнимать	Эмигрировать	зАЙти	противодЕЙствовать	штрАфОвать	ОбУвать	АНализироватЬ	ЭкоНомитЬ	clANG	bENGing		1 гитара 2 пирамида 3 атомная бомба 4 копье 5 водка
		-Ø	-a	-o	-e	-ai	-(e)i	-ao	-ou	-an	-(e)n	-ang	-(e)ng		hng; хн
Albert	Ø-	er | эр	a | а	o | о	e | э	ai | ай	ei | эй	ao | ао	ou | оу	an | ань	en | энь	ang | ан	eng | эн		ng; н
Betmen	b-		ba | ба	bo | бо		bai | бай	bei | бэй	bao | бао		ban | бань	ben | бэнь	bang | бан	beng | бэн		hm; хм
Peter Pen	p-		pa | па	po | по		pai | пай	pei | пэй	pao | пао	pou | поу	pan | пань	pen | пэнь	pang | пан	peng | пэн		n; нь
Mark Twen	m-		ma | ма	mo | мо	me | мэ	mai | май	mei | мэй	mao | мао	mou | моу	man | мань	men | мэнь	mang | ман	meng | мэн		m; м
Fantomas	f-		fa | фа	fo | фо			fei | фэй		fou | фоу	fan | фань	fen | фэнь	fang | фан	feng | фэн		ê; эй
Darth Vaider	d-		da | да		de | дэ	dai | дай	dei | дэй	dao | дао	dou | доу	dan | дань	den | дэнь	dang | дан	deng | дэн		
Tарзан	t-		ta | та		te | тэ	tai | тай	tei | тэй	tao | тао	tou | тоу	tan | тань		tang | тан	teng | тэн		
Navalnyi	n-		na | на		ne | нэ	nai | най	nei | нэй	nao | нао	nou | ноу	nan | нань	nen | нэнь	nang | нан	neng | нэн		
Leonardo	l-		la | ла	lo | лё	le | лэ	lai | лай	lei | лэй	lao | лао	lou | лоу	lan | лань		lang | лан	leng | лэн		
Gарри	g-		ga | га		ge | гэ	gai | гай	gei | гэй	gao | гао	gou | гоу	gan | гань	gen | гэнь	gang | ган	geng | гэн		
Keany	k-		ka | ка		ke | кэ	kai | кай		kao | као	kou | коу	kan | кань	ken | кэнь	kang | кан	keng | кэн		
Hодор	h-		ha | ха		he | хэ	hai | хай	hei | хэй	hao | хао	hou | хоу	han | хань	hen | хэнь	hang | хан	heng | хэн		
Zhора	zh-	zhi | чжи	zha | чжа		zhe | чжэ	zhai | чжай	zhei | чжэй	zhao | чжао	zhou | чжоу	zhan | чжань	zhen | чжэнь	zhang | чжан	zheng | чжэн		
Chаплин	ch-	chi | чи	cha | ча		che | чэ	chai | чай		chao | чао	chou | чоу	chan | чань	chen | чэнь	chang | чан	cheng | чэн		
Sherlock	sh-	shi | ши	sha | ша		she | шэ	shai | шай	shei | шэй	shao | шао	shou | шоу	shan | шань	shen | шэнь	shang | шан	sheng | шэн		
Rаспутин	r-	ri | жи			re | жэ			rao | жао	rou | жоу	ran | жань	ren | жэнь	rang | жан	reng | жэн		
Zак	z-	zi | цзы	za | цза		ze | цзэ	zai | цзай	zei | цзэй	zao | цзао	zou | цзоу	zan | цзань	zen | цзэнь	zang | цзан	zeng | цзэн		
Cцой	c-	ci | цы	ca | ца		ce | цэ	cai | цай		cao | цао	cou | цоу	can | цань	cen | цэнь	cang | цан	ceng | цэн		
Sэмьюэлл	s-	si | сы	sa | са		se | сэ	sai | сай		sao | сао	sou | соу	san | сань	sen | сэнь	sang | сан	seng | сэн		
															
		-Ø	-a	-o	-e	-ai	-(e)i	-ao	-ou	-an	-(e)n	-ang	-(e)ng		
Yяцик	y-	yi | и	ya | я	yo | ё	ye | е	yai | яай		yao | яо	you | ю	yan | янь	yin | инь	yang | ян	ying | ин		
BIbill	bi-	bi | би			bie | бе			biao | бяо		bian | бянь	bin | бинь		bing | бин		
PIcasso	pi-	pi | пи			pie | пе			piao | пяо		pian | пянь	pin | пинь		ping | пин		
MIsha	mi-	mi | ми			mie | ме			miao | мяо	miu | мю	mian | мянь	min | минь		ming | мин		
DIma	di-	di | ди	dia | дя		die | де			diao | дяо	diu | дю	dian | дянь			ding | дин		
TImoshenko	ti-	ti | ти			tie | те			tiao | тяо		tian | тянь			ting | тин		
Nikita	ni-	ni | ни			nie | не			niao | няо	niu | ню	nian | нянь	nin | нинь	niang | нян	ning | нин		
LIsa	li-	li | ли	lia | ля		lie | ле			liao | ляо	liu | лю	lian | лянь	lin | линь	liang | лян	ling | лин		
JIm	ji-	ji | цзи	jia | цзя		jie | цзе			jiao | цзяо	jiu | цзю	jian | цзянь	jin | цзинь	jiang | цзян	jing | цзин		
QIцерон	qi-	qi | ци	qia | ця		qie | це			qiao | цяо	qiu | цю	qian | цянь	qin | цинь	qiang | цян	qing | цин		
XIндбад	xi-	xi | си	xia | ся		xie | се			xiao | сяо	xiu | сю	xian | сянь	xin | синь	xiang | сян	xing | син		
															
		-Ø	-a	-o	-e	-ai	-(e)i	-ao	-ou	-an	-(e)n	-ang	-(e)ng		
Wатсон	w-	wu | у	wa | ва	wo | во		wai | вай	wei | вэй			wan | вань	wen | вэнь	wang | ван	weng | вэн		
BUш	bu-	bu | бу													
PUtin	pu-	pu | пу													
MUhammed	mu-	mu | му													
FUry	fu-	fu | фу													
DUдь	du-	du | ду		duo | до			dui | дуй			duan | дуань	dun | дунь		dong | дун		
TUtoro	tu-	tu | ту		tuo | то			tui | туй			tuan | туань	tun | тунь		tong | тун		
NUb	nu-	nu | ну		nuo | но						nuan | нуань			nong | нун		
LUкашенко	lu-	lu | лу		luo | ло						luan | луань	lun | лунь		long | лун		
GUбка	gu-	gu | гу	gua | гуа	guo | го		guai | гуай	gui | гуй			guan | гуань	gun | гунь	guang | гуан	gong | гун		
KUбрик	ku-	ku | ку	kua | куа	kuo | ко		kuai | куай	kui | куй			kuan | куань	kun | кунь	kuang | куан	kong | кун		
HUei	hu-	hu | ху	hua | хуа	huo | хо		huai | хуай	hui | хуэй			huan | хуань	hun | хунь	huang | хуан	hong | хун		
ZHUк	zhu-	zhu | чжу	zhua | чжуа	zhuo | чжо		zhuai | чжуай	zhui | чжуй			zhuan | чжуань	zhun | чжунь	zhuang | чжуан	zhong | чжун		
CHUжой	chu-	chu | чу	chua | чуа	chuo | чо		chuai | чуай	chui | чуй			chuan | чуань	chun | чунь	chuang | чуан	chong | чун		
SHUмахер	shu-	shu | шу	shua | шуа	shuo | шо		shuai | шуай	shui | шуй			shuan | шуань	shun | шунь	shuang | шуан			
RUбеус	ru-	ru | жу	rua	ruo | жо			rui | жуй			ruan | жуань	run | жунь		rong | жун		
ZUбнаяфея	zu-	zu | цзу		zuo | цзо			zui | цзуй			zuan | цзуань	zun | цзунь		zong | цзун		
CUкерберг	cu-	cu | цу		cuo | цо			cui | цуй			cuan | цуань	cun | цунь		cong | цун		
SUpermen	su-	su | су		suo | со			sui | суй			suan | суань	sun | сунь		song | сун		
															
		-Ø	-a	-o	-e	-ai	-(e)i	-ao	-ou	-an	-(e)n	-ang	-(e)ng		
YUгарарин	yu-	yu | юй			yue | юэ					yuan | юань	yun | юнь		yong | юн		
NYusha	nü-	nü | nv | нюй			nüe | nue | нюэ						nun | нунь				
LYskywalker	lü-	lü | lv | люй			lüe | lue | люэ					luan | lvan | люань	lun | lvn | люнь				
JUзюганов	ju-	ju | цзюй			jue | цзюэ					juan | цзюань	jun | цзюнь		jiong | цзюн		
QUцюпка	qu-	qu | цюй			que | цюэ					quan | цюань	qun | цюнь		qiong | цюн		
XUсюткин	xu-	xu | сюй			xue | сюэ					xuan | сюань	xun | сюнь		xiong | сюн		
